label,wigner,moore,darby
ML-KEM-512 keygen,58719.9,39432.2,18900
ML-KEM-512 encaps,62034.7,37523.5,18925.1
ML-KEM-512 decaps,61012.8,33433.6,17838
ML-KEM-768 encaps,38550.5,23866.3,11457.4
ML-KEM-1024 encaps,25157.2,15691.2,7331.38
ML-DSA-44 sign,6361.32,2623.29,1784.12
ML-DSA-44 verify,59594.8,25667.4,16239
ML-DSA-65 sign,3760.81,1494.54,1055.07
ML-DSA-87 sign,5952.38,2399.23,1670.84
NTRU-HRSS-701 encaps,20639.8,14490.7,8510.64
NTRU-HPS-509 encaps,12094.8,9354.54,5783.69
NTRU-EES-401EP1 enc,9920.63,9165.9,3450.66
