label,tolkien,dennard,heinlein
NTRU-HPS-509 keygen,990.099,777.605,380.373
NTRU-HPS-509 encaps,11733,9302.33,4456.33
NTRU-HPS-509 decaps,6410.26,6426.74,2844.95
NTRU-HPS-677 keygen,887.311,551.268,281.69
NTRU-HPS-677 encaps,9756.1,7385.52,3825.55
NTRU-HPS-677 decaps,8673.03,6119.95,2897.71
NTRU-HPS-821 keygen,403.551,350.385,172.741
NTRU-HPS-821 encaps,6131.21,5115.09,2605.52
NTRU-HPS-821 decaps,3385.24,3575.26,1685.49
NTRU-HRSS-701 keygen,841.043,539.665,252.207
NTRU-HRSS-701 encaps,21299.3,14560.3,6761.33
NTRU-HRSS-701 decaps,8298.76,5882.35,2676.66
