label,tolkien,dennard,heinlein
ML-KEM-512 keygen,43103.4,38095.2,22217.3
ML-KEM-512 encaps,50226,38008.4,20288.1
ML-KEM-512 decaps,44722.7,33647.4,21294.7
ML-KEM-768 encaps,30506.4,23452.2,12779.6
ML-KEM-1024 encaps,19634.8,15375.2,8354.22
ML-DSA-44 sign,5473.45,3250.98,2153.78
ML-DSA-44 verify,45248.9,29154.5,16393.4
ML-DSA-65 sign,3012.96,1870.21,1237.62
ML-DSA-87 sign,4672.9,2947.24,1858.39
NTRU-HRSS-701 encaps,21299.3,14560.3,6761.33
NTRU-HPS-509 encaps,11733,9302.33,4456.33
NTRU-EES-401EP1 enc,9746.59,8880.99,3190.81
