label,tolkien,twilight,heinlein
NTRU-HPS-509 keygen,1029.76,764.526,390.625
NTRU-HPS-509 encaps,12224.9,9140.77,4440.5
NTRU-HPS-509 decaps,7235.89,6281.41,2855.51
NTRU-HPS-677 keygen,886.525,536.193,295.683
NTRU-HPS-677 encaps,11613.1,7241.13,3812.43
NTRU-HPS-677 decaps,10034.1,5931.2,2913.75
NTRU-HPS-821 keygen,413.223,346.861,185.254
NTRU-HPS-821 encaps,6161.43,4962.78,2593.36
NTRU-HPS-821 decaps,3424.66,3444.71,1669.45
NTRU-HRSS-701 keygen,856.898,529.101,270.416
NTRU-HRSS-701 encaps,21372.1,14289.8,6811.99
NTRU-HRSS-701 decaps,8680.56,5753.74,2668.09
