label,tolkien,twilight,heinlein
ML-KEM-512 keygen,70721.4,38080.7,23843.6
ML-KEM-512 encaps,115340,51020.4,32206.1
ML-KEM-512 decaps,110571,44603,29036
ML-KEM-768 encaps,88809.9,37202.4,23557.1
ML-KEM-1024 encaps,65832.8,26795.3,17146.8
ML-DSA-44 sign,7142.86,3216.47,2123.14
ML-DSA-44 verify,64433,29019.2,18221.6
ML-DSA-65 sign,4189.36,1853.57,1265.02
ML-DSA-87 sign,6605.02,2925.69,1970.44
NTRU-HRSS-701 encaps,21372.1,14289.8,6811.99
NTRU-HPS-509 encaps,12224.9,9140.77,4440.5
NTRU-EES-401EP1 enc,10332.7,9041.59,3374.96
