label,i5-8259U,Apple M1,Cortex-X925,Cortex-A76
NTRU-HPS-509 keygen,439.947,526.593,850.34,271.076
NTRU-HPS-509 encaps,9727.63,13663.1,21710.8,6949.27
NTRU-HPS-509 decaps,5995.2,7782.1,12223.4,3880.48
NTRU-HPS-677 keygen,459.137,814.996,961.538,300.03
NTRU-HPS-677 encaps,7230.66,11678.2,16655.6,5202.91
NTRU-HPS-677 decaps,5691.52,10972.1,12399.3,3853.56
NTRU-HPS-821 keygen,264.69,275.558,530.504,167.308
NTRU-HPS-821 encaps,5527.92,6944.44,12564.4,3895.6
NTRU-HPS-821 decaps,3465,3918.5,7552.87,2301.5
NTRU-HRSS-701 keygen,385.505,698.324,791.766,247.831
NTRU-HRSS-701 encaps,11423.3,21645,24289.5,8012.82
NTRU-HRSS-701 decaps,5030.18,9643.2,10884.9,3350.08
