label,i5-8259U,Apple M1,Cortex-X925,Cortex-A76
ML-KEM-512 keygen,5344.74,11326.3,14775.4,3734.13
ML-KEM-512 encaps,23424.7,53050.4,71174.4,16820.9
ML-KEM-512 decaps,17624.3,42087.5,54644.8,13404.8
ML-KEM-768 encaps,16239,40733.2,53676.9,12716.2
ML-KEM-1024 encaps,9242.14,31298.9,40225.3,7710.1
ML-DSA-44 sign,2056.77,5440.7,6269.59,1372.12
ML-DSA-44 verify,18622,47214.4,56657.2,13201.3
ML-DSA-65 sign,1296.68,3445.9,3966.68,888.889
ML-DSA-87 sign,1234.42,3290.56,3843.2,847.458
NTRU-HRSS-701 encaps,11423.3,21645,24289.5,8012.82
NTRU-HPS-509 encaps,9727.63,13663.1,21710.8,6949.27
NTRU-EES-401EP1 enc,5379.24,12577,17094,5730.66
