label,i5-8259U,Apple M1,Cortex-X925,Cortex-A76
RSA-2048 sign,563.38,892.857,1111.36,279.877
RSA-2048 verify,19054.9,27624.3,32873.1,9310.99
RSA-1024 keygen,23.2558,29.824,48.9716,14.1163
ECDSA sign,997.009,1181.33,2024.7,692.521
ECDSA verify,497.018,591.366,1032.63,343.053
ECDH agree,1009.9,1202.65,2089.43,694.444
Ed25519 sign,2045.41,2231.15,3793.63,1207.44
Ed25519 verify,828.5,945.18,1537.75,505.306
X25519 agree,18726.6,28571.4,35335.7,4562.04
X448 agree,2384.36,4314.06,5350.45,932.836
DSA-1024 sign,6587.62,10022,12833.7,3344.48
DSA-1024 verify,3500.18,5675.37,6844.63,1738.53
