label,i5-8259U,Apple M1,Cortex-X925,Cortex-A76
AES-128,215,392.5,494.8,186.4
AES-256,161.3,286.6,329.2,138.8
Camellia-128,92.31,102.4,136.4,71.98
CAST-128,112,167.3,180.4,86.57
DES,59.6,60.68,80.13,40.36
Grasshopper,103.4,200.7,223.1,86.12
Magma,47.48,38.64,61.42,37.11
PRESENT-80,2.64,8.855,10.28,2.704
SEED,49.59,49.66,80.29,39.64
Serpent-128,24.51,23.46,30.22,14.8
SM4,117.5,158,163.1,74.31
Twofish-128,201.1,250.6,317.1,116.7
ChaCha20,346.3,673.3,910.7,298.7
Salsa20,216.7,586.6,1184,331.5
Rabbit,273,977.8,1125,256.2
SNOW 3G,162.7,350.3,536.1,188
ZUC-128,267.5,390.9,516.2,271.8
