label,EPYC 7452,i5-8259U,Cortex-A76
NTRU-HPS-509 keygen,515.996,503.778,271.223
NTRU-HPS-509 encaps,11305.8,10109.2,6968.64
NTRU-HPS-509 decaps,7530.12,6775.07,3874.47
NTRU-HPS-677 keygen,532.765,474.834,300.03
NTRU-HPS-677 encaps,7987.22,7002.8,5213.76
NTRU-HPS-677 decaps,7137.76,5797.1,3858.02
NTRU-HPS-821 keygen,303.767,282.965,166.778
NTRU-HPS-821 encaps,6101.28,5470.46,3907.78
NTRU-HPS-821 decaps,4239.08,3767.9,2295.68
NTRU-HRSS-701 keygen,433.839,406.009,247.586
NTRU-HRSS-701 encaps,13135.4,11792.5,8006.41
NTRU-HRSS-701 decaps,5910.17,5296.61,3332.22
