label,EPYC 7452,i5-8259U,Cortex-A76
ML-KEM-512 keygen,6631.3,5254.86,3709.2
ML-KEM-512 encaps,28216.7,23272.1,16564.5
ML-KEM-512 decaps,21862.7,15124,13273.2
ML-KEM-768 encaps,20665.4,17094,12473.5
ML-KEM-1024 encaps,15358.6,12471.9,7137.76
ML-DSA-44 sign,2304.68,2137.67,1360.36
ML-DSA-44 verify,21281.1,18504.8,13137.2
ML-DSA-65 sign,1455.18,1348.25,879.507
ML-DSA-87 sign,1436.16,1284.69,829.876
NTRU-HRSS-701 encaps,13135.4,11792.5,8006.41
NTRU-HPS-509 encaps,11305.8,10109.2,6968.64
NTRU-EES-401EP1 enc,7147.96,8130.08,5810.58
